Position,OpenMail,OpenAttachment,ClickURL,UnLocation,ScanQRCode,SubmitPasswd,ForgottenPasswd,RedirectTo,safe,safe_grade
Position_1,1,0,1,1,0,1,0,0,,D
Position_2,1,0,1,1,1,0,0,0,,C
Position_2,1,0,1,1,0,0,0,0,,B
Position_3,1,0,1,1,0,0,0,0,,B
Position_3,1,0,1,1,0,0,0,0,,B
Position_3,1,0,1,1,0,0,1,0,,D
Position_4,1,0,1,1,0,0,0,0,,B
Position_4,1,0,0,0,1,0,0,0,,C
Position_4,1,0,0,0,0,0,0,0,,A
Position_4,1,0,1,1,0,0,0,0,,B
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,1,1,1,1,0,0,0,,C
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_1,1,0,0,0,0,0,0,0,,A
Position_2,1,0,0,0,0,0,0,0,,A
Position_2,1,0,0,0,0,0,0,0,,A
Position_3,1,0,0,0,0,0,0,0,,A
Position_3,1,0,1,1,1,1,0,1,,D
Position_3,1,1,0,0,0,0,0,0,,B
Position_4,1,0,0,0,0,0,0,0,,A
Position_4,1,0,1,1,0,0,0,0,,B
Position_4,1,0,0,0,0,0,0,0,,A
Position_4,1,0,0,0,0,0,0,0,,A
Position_5,1,0,1,1,0,1,0,1,,D
Position_5,1,0,1,1,0,1,0,0,,D
Position_5,1,0,1,1,0,0,0,0,,B
Position_5,1,0,1,1,1,0,0,0,,C
Position_5,1,0,1,1,1,0,0,0,,C
Position_1,1,0,1,1,0,1,0,0,,D
Position_2,1,0,1,1,0,0,0,0,,B
Position_2,1,0,1,0,0,0,0,0,,A
Position_3,1,0,1,1,1,0,0,0,,C
Position_3,1,0,0,0,0,0,0,0,,A
Position_3,1,0,0,0,0,0,0,0,,A
Position_4,1,0,1,1,1,0,0,0,,C
Position_4,1,1,0,0,0,0,0,0,,A
Position_4,1,0,1,1,0,0,0,0,,B
Position_4,1,0,1,1,0,0,0,0,,B
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,1,1,0,0,0,0,,B
Position_5,1,0,0,0,0,0,0,0,,A
Position_1,1,0,0,0,0,0,0,0,,A
Position_2,1,0,1,1,0,0,0,0,,B
Position_2,1,0,1,1,0,0,0,0,,B
Position_3,1,0,0,0,0,0,0,0,,A
Position_3,1,0,0,0,0,0,0,0,,A
Position_3,1,0,0,0,0,0,0,0,,A
Position_4,1,0,0,0,0,0,0,0,,A
Position_4,1,0,1,0,0,0,0,0,,A
Position_4,1,0,1,1,1,0,0,0,,C
Position_4,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,1,1,0,0,0,0,,B
Position_5,1,0,1,1,1,0,0,0,,C
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,1,0,0,0,0,0,0,,A
Position_1,1,0,0,0,0,0,0,0,,A
Position_2,1,1,0,0,0,0,0,0,,B
Position_2,1,0,1,1,0,0,0,0,,B
Position_3,1,0,1,1,1,1,0,0,,D
Position_3,1,0,1,1,0,0,1,0,,D
Position_3,1,0,1,1,0,0,0,0,,B
Position_4,1,0,1,1,0,0,0,0,,B
Position_4,1,0,1,1,0,0,1,0,,D
Position_4,1,0,1,1,0,0,0,0,,B
Position_4,1,0,1,1,0,0,0,0,,B
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,1,0,0,0,0,0,0,,A
Position_1,1,0,0,0,0,0,0,0,,A
Position_2,1,0,0,0,0,0,0,0,,A
Position_2,1,0,1,1,0,1,1,0,,D
Position_3,1,0,1,1,0,1,0,0,,D
Position_3,1,0,1,1,0,0,0,0,,B
Position_3,1,0,1,1,1,0,0,0,,C
Position_4,1,0,1,1,0,0,0,0,,B
Position_4,1,0,1,1,1,0,0,0,,C
Position_4,1,0,0,0,0,0,0,0,,A
Position_4,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,1,1,0,0,0,0,,B
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,0,0,0,0,0,0,,A
Position_5,1,0,1,1,1,1,1,0,,D
